label,total_dur,mean_dur,median_dur
E:maj,209.49461000000005,2.586353209876544,1.8924260000000004
A:maj,157.03954900000002,2.0938606533333335,1.497686999999999
C:maj,123.355811,1.4343698953488373,1.6428120000000024
F:maj,108.54830799999999,1.5962986470588234,1.6834464999999952
G:maj,94.14931900000002,1.5957511694915258,1.590567
N,66.08842100000003,1.1201427288135597,0.6849890000000016
Eb:maj,60.24227100000005,2.409690840000002,1.8575969999999984
D:maj,60.201024999999944,1.09456409090909,1.0100680000000004
Ab:maj,55.012885000000004,2.2005154,1.8343769999999893
C:min,47.256088999999996,2.9535055624999997,3.4540679999999995
B:maj,44.875114999999994,2.1369102380952376,1.8808159999999958
E:min,40.66511399999999,1.9364339999999995,1.6253969999999995
A:min,39.65074,1.0434405263157895,1.2072655
Bb:maj,34.95287800000003,1.1650959333333342,1.1985710000000012
D:min,21.371018999999983,0.9714099545454538,0.6617690000000032
G:min,19.377052999999975,1.6147544166666645,1.764716500000004
F:min,18.030295999999957,1.5025246666666632,1.7937414999999959
Db:maj,5.089080999999991,0.6361351249999989,0.6358285000000059
B:min,4.13314999999999,0.6888583333333317,0.6907929999999993
Gb:min,3.9938320000000047,1.9969160000000024,1.9969160000000024
